size,lambda, precision, recall, F1, std_precision, std_recall, std_F1
50,0.1,0.90734,0.55580,0.68552,0.07466,0.08967,0.08266
100,0.1,0.98406,0.61354,0.75264,0.02364,0.08003,0.06150
500,0.1,1.00000,0.66650,0.79638,0.00000,0.08910,0.06550
2000,0.1,1.00000,0.66592,0.79611,0.00000,0.08802,0.06350
5000,0.1,1.00000,0.67886,0.80521,0.00000,0.09071,0.06493
10000,0.1,1.00000,0.67332,0.80155,0.00000,0.08674,0.06230
50000,0.1,1.00000,0.67024,0.79945,0.00000,0.08453,0.06182
200000,0.1,1.00000,0.67491,0.80285,0.00000,0.08458,0.06055
