size,alpha, precision, recall, F1, std_precision, std_recall, std_F1
50,0.05,0.91996,0.43601,0.58734,0.06079,0.08092,0.07655
100,0.05,0.94680,0.62282,0.74558,0.04535,0.10676,0.07721
200,0.05,0.96138,0.74617,0.83613,0.03665,0.09894,0.06327
500,0.05,0.96421,0.84900,0.90047,0.03208,0.08771,0.05504
1000,0.05,0.95874,0.87839,0.91525,0.03427,0.07863,0.05185
2000,0.05,0.96144,0.89428,0.92571,0.02790,0.06533,0.04369
5000,0.05,0.95551,0.91552,0.93395,0.03969,0.06995,0.04854
10000,0.05,0.95089,0.92722,0.93796,0.04751,0.06186,0.04764
20000,0.05,0.95801,0.92876,0.94230,0.04296,0.05978,0.04477
50000,0.05,0.94524,0.93888,0.94147,0.04840,0.05517,0.04711
100000,0.05,0.94023,0.94076,0.93986,0.04433,0.05578,0.04431
200000,0.05,0.94588,0.94837,0.94660,0.05186,0.04781,0.04477

