size,alpha, precision, recall, F1, std_precision, std_recall, std_F1
50,0.01,0.97656,0.31461,0.47200,0.03945,0.06617,0.07607
100,0.01,0.98587,0.52563,0.68204,0.02367,0.08141,0.07041
200,0.01,0.98305,0.67885,0.79884,0.02098,0.10175,0.07094
500,0.01,0.98908,0.81299,0.88936,0.01910,0.09917,0.06430
1000,0.01,0.98196,0.85438,0.91221,0.02647,0.08041,0.05405
2000,0.01,0.97911,0.88431,0.92811,0.02759,0.07034,0.04599
5000,0.01,0.96991,0.90805,0.93700,0.03756,0.07275,0.05206
10000,0.01,0.97046,0.91914,0.94336,0.03880,0.06631,0.04935
20000,0.01,0.96923,0.92618,0.94665,0.04264,0.06246,0.04946
50000,0.01,0.96801,0.93431,0.95044,0.04465,0.05740,0.04811
100000,0.01,0.96291,0.93872,0.95025,0.04569,0.05619,0.04788
200000,0.01,0.96727,0.94821,0.95732,0.04995,0.04815,0.04598
