seqnum,true_edges,astar_edges,ges_edges
9100,36,36,50
9101,38,38,38
9102,40,40,72
9103,33,33,35
9104,49,49,84
9105,45,44,96
9106,39,39,66
9107,32,32,45
9108,39,39,39
9109,37,37,37
9110,39,38,41
9111,38,38,49
9112,37,37,37
9113,34,34,37
9114,34,34,34
9115,31,31,36
9116,44,44,64
9117,40,40,60
9118,27,27,27
9119,40,40,63
9120,35,35,35
9121,33,33,49
9122,40,40,51
9123,38,38,45
9124,37,37,60
9125,43,43,85
9126,33,33,36
9127,38,38,38
9128,41,41,68
9129,37,37,41
