seqnum,true_edges,astar_edges,ges_edges
9200,43,43,66
9201,36,36,36
9202,39,39,43
9203,30,30,48
9204,37,37,42
9205,40,40,81
9206,33,32,36
9207,39,39,39
9208,30,30,30
9209,33,33,33
9210,41,41,45
9211,36,36,50
9212,27,27,27
9213,47,47,94
9214,38,38,40
9215,46,46,72
9216,34,34,34
9217,29,29,29
9218,28,28,28
9219,21,21,21
9220,31,31,31
9221,31,31,31
9222,34,34,34
9223,37,37,40
9224,32,32,43
9225,29,29,30
9226,36,36,74
9227,35,35,35
9228,29,29,39
9229,39,39,46
