seqnum,true_score,astar_score,ges_score
9200,-81664.242188,-81664.242188,-80667.226562
9201,-88644.015625,-88644.015625,-88644.015625
9202,-101329.843750,-101329.843750,-101141.125000
9203,-80261.062500,-80261.062500,-79853.968750
9204,-77978.179688,-77978.171875,-77856.460938
9205,-92870.078125,-92870.078125,-90326.242188
9206,-104686.796875,-104690.890625,-104598.328125
9207,-65043.933594,-65043.933594,-65043.933594
9208,-90085.109375,-90085.101562,-90085.109375
9209,-78514.812500,-78514.859375,-78514.734375
9210,-98219.125000,-98219.140625,-98070.531250
9211,-105934.554688,-105934.554688,-105400.171875
9212,-73327.453125,-73327.453125,-73327.445312
9213,-142540.171875,-142540.171875,-139710.375000
9214,-97608.804688,-97608.804688,-97554.734375
9215,-113755.187500,-113755.179688,-112380.757812
9216,-64637.113281,-64637.113281,-64637.113281
9217,-49642.453125,-49642.453125,-49642.453125
9218,-74176.625000,-74176.625000,-74176.625000
9219,-49873.000000,-49873.007812,-49873.007812
9220,-57360.976562,-57360.976562,-57360.976562
9221,-77156.789062,-77156.789062,-77156.789062
9222,-71633.585938,-71633.703125,-71633.703125
9223,-85089.710938,-85089.710938,-84686.179688
9224,-92891.875000,-92891.867188,-92636.593750
9225,-60290.167969,-60290.167969,-60258.433594
9226,-94129.007812,-94129.007812,-92029.148438
9227,-67140.757812,-67140.757812,-67140.765625
9228,-67512.054688,-67512.054688,-66997.968750
9229,-85940.859375,-85940.851562,-85784.796875
